stid,station_name,lat,lon,elev,begints,iem_network
33N,Cheswold,39.21869,-75.60047,13.995738,2019-03-12 00:00,DE_ASOS
DOV,DOVER AFB,39.1295,-75.466,9,1949-07-01 00:00,DE_ASOS
GED,GEORGETOWN/SUSSEX,38.68919,-75.35889,16,1987-10-01 00:00,DE_ASOS
ILG,WILMINGTON AIRPORT,39.67278,-75.60083,24,1948-01-01 00:00,DE_ASOS
