stid,station_name,lat,lon,elev,begints,iem_network
BID,BLOCK ISLAND (AWOS),41.17,-71.58,33,1948-01-01 00:00,RI_ASOS
UUU,NEWPORT,41.53244,-71.28154,29,1996-07-01 00:00,RI_ASOS
OQU,N. KINGSTON/QUONSET,41.59714,-71.41214,6,1947-12-31 00:00,RI_ASOS
SFZ,PAWTUCKET (AWOS),41.92076,-71.49138,134,1992-03-01 00:00,RI_ASOS
PVD,PROVIDENCE/GREEN,41.7219,-71.4325,19,1948-01-01 00:00,RI_ASOS
WST,Westerly,41.3497,-71.7989,24,1999-07-31 00:00,RI_ASOS
